name,description,price,stock,category,img_url
Glow Boost Moisturizer,Hydrating cream for dewy skin,24.99,50,1,remgloss.webp
Flawless Finish Foundation,Full-coverage foundation for a perfect look,19.99,30,2,blushstick.webp
Sleek Detangler Hairbrush,Ergonomic brush for smooth and tangle-free hair,12.99,40,4,eyeliner.webp
Radiance Face Mask,Revitalizing mask for a glowing complexion,15.99,25,1,lipgloss.webp
Bright Eyes Concealer,Light-reflecting concealer for bright eyes,18.99,35,2,blush.webp
Volume Surge Shampoo,Shampoo for bouncy and voluminous hair,14.99,60,4,remgloss.webp
Youth Elixir Serum,Advanced serum for youthful and radiant skin,29.99,45,1,eyeliner.webp
Velvet Matte Lipstick,Smooth matte lipstick in bold shades,22.99,55,2,lipgloss.webp
Perfect Hold Hair Gel,Flexible hair gel for all-day hold,9.99,70,4,blush.webp
Revive Eye Cream,Restorative cream for tired eyes,27.99,20,1,blushstick.webp
Flushed Blush,Blush for a natural rosy glow,17.99,50,2,remgloss.webp
Deep Repair Conditioner,Conditioner for intensive moisture and shine,13.99,30,4,lipgloss.webp
Pure Radiance Cleanser,Gentle cleanser for a fresh start,21.99,40,1,blush.webp
Ink Bold Eyeliner,Long-lasting eyeliner with precise application,16.99,25,2,blushstick.webp
Miracle Hair Oil,Nourishing oil for silky and smooth hair,28.99,35,4,eyeliner.webp
Silk Smooth Body Scrub,Exfoliating scrub for silky soft skin,19.99,45,1,remgloss.webp
Chic Nail Polish,Trendy shades with a glossy finish,9.99,60,2,rhodeserum.webp
Vitamin C Glow Serum,Brightening serum for radiant skin,26.99,30,1,blushstick.webp
Hydra Luxe Lip Balm,Ultra-moisturizing balm with a hint of color,7.99,70,2,eyeliner.webp
Silk Touch Body Lotion,Luxurious lotion for all-day hydration,18.99,55,1,lipgloss.webp
Glamour Glow Makeup Remover,Effective remover for a clean slate,15.99,65,2,blush.webp
Hair Revival Treatment,Restorative treatment for damaged hair,25.99,50,4,rhodeserum.webp
Sun Shield SPF 30,Sunscreen with high protection and a lightweight feel,22.99,40,1,eyeliner.webp
Sunset Glow Bronzer,Soft bronzer for a sun-kissed look,20.99,30,2,lipgloss.webp
Smooth Shave Cream,Rich cream for a close comfortable shave,12.99,60,4,blush.webp
Velvet Touch Hand Cream,Nourishing cream for soft smooth hands,14.99,45,1,blushstick.webp
Lush Lash Mascara,Volumizing mascara for dramatic lashes,17.99,35,2,rhodeserum.webp
Fresh Start Body Wash,Invigorating wash for a refreshing cleanse,11.99,55,1,lipgloss.webp
Electric Pop Eye Shadow,Vibrant shadows with intense color payoff,23.99,30,2,blush.webp
Volume Boost Mousse,Lightweight mousse for extra volume,16.99,50,4,blushstick.webp
Purity Face Toner,Clarifying toner for a clean balanced complexion,19.99,40,1,eyeliner.webp
Glam Cuticle Oil,Nourishing oil for healthy cuticles,8.99,65,2,rhodeserum.webp
